NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 동대문구 제기동,집합,8**,왕산로,일반상업,판매,25m이상,6.6, ,"1,500",,-,-,201812,31,,1976,-,-,-
2,서울특별시 구로구 구로동,집합,1**,가마산로27길,일반상업,제2종근린생활,25m미만,20.35, ,"10,250",1,-,-,201812,31,,2003,-,-,-
3,서울특별시 마포구 연남동,일반,2**,성미산로,제2종일반주거,기타,25m미만,687.5,331.2,"435,000",,-,-,201812,31,,1971,-,-,-
4,서울특별시 노원구 공릉동,집합,2**,노원로,제3종일반주거,제2종근린생활,25m미만,30.01, ,"15,000",,-,-,201812,31,,1985,-,-,-
5,서울특별시 서초구 방배동,일반,7**,동작대로,제3종일반주거,제1종근린생활,25m이상,6966.8,1467.4,"3,200,000",,-,-,201812,31,,1998,-,-,-
6,서울특별시 광진구 구의동,집합,5**,광나루로56길,준주거,판매,25m이상,11.7, ,"9,500",,-,-,201812,31,,1998,-,-,-
7,서울특별시 송파구 마천동,일반,1**,마천로41길,제2종일반주거,제2종근린생활,12m미만,759.35,298,"287,000",,-,-,201812,31,,1990,-,-,-
8,서울특별시 구로구 구로동,집합,1**,가마산로27길,일반상업,제2종근린생활,25m미만,40.7, ,"20,000",1,-,-,201812,31,,2003,-,-,-
9,서울특별시 강서구 방화동,일반,5**,초원로,제2종일반주거,제1종근린생활,25m미만,581.39,735,"489,700",,-,-,201812,31,,1993,-,-,-
10,서울특별시 중구 신당동,일반,1**,다산로42길,제2종일반주거,제1종근린생활,12m미만,417.79,160.8,"175,674",,-,-,201812,31,,1993,-,-,-
11,서울특별시 동대문구 청량리동,집합,7**,홍릉로,일반상업,판매,25m이상,3.72, ,"3,600",,-,-,201812,31,,1997,-,-,-
12,서울특별시 동대문구 제기동,집합,8**,왕산로,일반상업,판매,25m이상,6.6, ,"1,500",,-,-,201812,31,,1976,-,-,-
13,서울특별시 동대문구 제기동,집합,8**,왕산로,일반상업,판매,25m이상,7.2, ,"2,200",,-,-,201812,31,,1976,-,-,-
14,서울특별시 관악구 신림동,집합,1***,신림로,일반상업,판매,25m이상,3.87, ,"2,000",40,-,-,201812,31,,2004,-,-,-
15,서울특별시 송파구 문정동,집합,6**,법원로4길,일반상업,제2종근린생활,-,62.18, ,"45,500",,-,-,201812,31,,2018,-,-,-
16,서울특별시 동대문구 답십리동,일반,4**,사가정로,제2종일반주거,숙박,8m미만,166.46,138.5,"98,000",,-,-,201812,31,,1975,-,-,-
17,서울특별시 동대문구 장안동,집합,3**,장한로18길,일반상업,제1종근린생활,12m미만,257.93, ,"120,000",1,-,-,201812,31,,2006,-,-,-
18,서울특별시 강서구 등촌동,집합,7**,공항대로41길,준주거,기타,25m미만,15.5, ,"1,500",9,-,-,201812,31,,1997,-,-,-
19,서울특별시 강서구 등촌동,집합,6**,공항대로,제3종일반주거,기타,25m이상,55.22, ,"29,500",12,-,-,201812,31,,2003,-,-,-
20,서울특별시 동대문구 장안동,집합,3**,장한로26길,일반상업,업무,12m미만,35.15, ,"2,000",,-,-,201812,31,,2017,-,-,-
21,서울특별시 강동구 길동,집합,1**,천중로,제2종일반주거,제2종근린생활,25m미만,37.5, ,"9,705",,-,-,201812,31,,1983,-,-,-
22,서울특별시 구로구 구로동,집합,1**,가마산로27길,일반상업,제2종근린생활,25m미만,20.35, ,"10,250",1,-,-,201812,31,,2003,-,-,-
23,서울특별시 서대문구 대현동,집합,1**,신촌역로,일반상업,제1종근린생활,25m이상,20.34, ,"10,000",,-,-,201812,31,,2001,-,-,-
24,서울특별시 용산구 원효로2가,일반,5*,원효로58길,제3종일반주거,제1종근린생활,8m미만,83.7,100.5,"120,000",,-,-,201812,31,,1955,-,-,-
25,서울특별시 구로구 구로동,집합,1**,가마산로27길,일반상업,제2종근린생활,25m미만,40.7, ,"20,000",1,-,-,201812,31,,2003,-,-,-
26,서울특별시 중구 을지로6가,집합,1*,,일반상업,판매,12m미만,9.26, ,"11,000",1,-,-,201812,31,,1967,-,-,-
27,서울특별시 금천구 가산동,집합,3**,가산디지털1로,준공업,제2종근린생활,25m미만,123.81, ,"25,000",2,-,-,201812,31,지분,2009,-,-,-
28,서울특별시 광진구 자양동,일반,5**,뚝섬로,제3종일반주거,제2종근린생활,25m미만,889.45,374,"550,000",,-,-,201812,31,,1983,-,-,-
29,서울특별시 동작구 노량진동,일반,2**,만양로8길,제2종일반주거,제2종근린생활,8m미만,858.67,278,"280,008",,-,-,201812,31,,1998,-,-,-
30,서울특별시 강동구 강일동,집합,6**,아리수로93길,제2종일반주거,제1종근린생활,-,39.22, ,"75,500",1,-,-,201812,31,,2010,-,-,-
31,서울특별시 강동구 강일동,집합,6**,아리수로93길,제2종일반주거,제1종근린생활,-,39.16, ,"75,500",1,-,-,201812,31,,2010,-,-,-
32,서울특별시 강동구 강일동,집합,6**,아리수로93길,제2종일반주거,제2종근린생활,-,165.36, ,"124,000",2,-,-,201812,31,,2010,-,-,-
33,서울특별시 강동구 강일동,집합,6**,아리수로93길,제2종일반주거,제1종근린생활,-,39.22, ,"75,500",1,-,-,201812,31,,2010,-,-,-
34,서울특별시 강동구 강일동,집합,6**,아리수로93길,제2종일반주거,제1종근린생활,-,39.16, ,"75,500",1,-,-,201812,31,,2010,-,-,-
35,서울특별시 강동구 강일동,집합,6**,아리수로93길,제2종일반주거,제2종근린생활,-,165.36, ,"124,000",2,-,-,201812,31,,2010,-,-,-
36,서울특별시 강동구 길동,집합,4**,양재대로111길,일반상업,업무,12m미만,22.71, ,"9,000",9,-,-,201812,30,,2002,-,-,-
37,서울특별시 금천구 독산동,집합,2**,시흥대로,준공업,판매,25m이상,57.88, ,"19,500",3,-,-,201812,30,,2004,-,-,-
38,서울특별시 서초구 서초동,집합,1***,서초중앙로22길,제3종일반주거,제2종근린생활,12m미만,87.03, ,"71,349",1,-,-,201812,30,,2004,-,-,-
39,서울특별시 서초구 서초동,집합,1***,서초중앙로22길,제3종일반주거,제2종근린생활,12m미만,122.43, ,"88,694",2,-,-,201812,30,,2004,-,-,-
40,서울특별시 성북구 길음동,일반,5**,길음로7길,제3종일반주거,제2종근린생활,25m미만,330.9,14.19,"100,000",,-,-,201812,30,지분,,-,-,-
41,서울특별시 서초구 서초동,집합,1***,서초중앙로22길,제3종일반주거,제2종근린생활,12m미만,122.43, ,"88,694",3,-,-,201812,30,,2004,-,-,-
42,서울특별시 관악구 신림동,집합,1***,남부순환로194길,제1종일반주거,제1종근린생활,-,69.98, ,"36,000",,-,-,201812,30,,2018,-,-,-
43,서울특별시 서초구 서초동,집합,1***,서초중앙로22길,제3종일반주거,제2종근린생활,12m미만,117.5, ,"86,344",,-,-,201812,30,,2004,-,-,-
44,서울특별시 강동구 길동,집합,4**,양재대로111길,일반상업,업무,12m미만,25.6, ,"8,000",4,-,-,201812,30,,2002,-,-,-
45,서울특별시 강동구 길동,집합,4**,양재대로111길,일반상업,업무,12m미만,17.29, ,"7,000",9,-,-,201812,30,,2002,-,-,-
46,서울특별시 강동구 길동,집합,4**,양재대로111길,일반상업,업무,12m미만,40.74, ,"11,000",7,-,-,201812,30,,2002,-,-,-
47,서울특별시 양천구 신정동,집합,7**,신정로7길,제2종일반주거,제1종근린생활,25m미만,55.37, ,"39,000",1,-,-,201812,30,,2003,-,-,-
48,서울특별시 중랑구 상봉동,집합,9*,망우로,준주거,제2종근린생활,25m이상,167.49, ,"69,000",6,-,-,201812,30,,1996,-,-,-
49,서울특별시 서초구 서초동,집합,1***,서초중앙로22길,제3종일반주거,제2종근린생활,12m미만,122.43, ,"88,694",4,-,-,201812,30,,2004,-,-,-
50,서울특별시 강서구 화곡동,일반,2*,화곡로42길,일반상업,숙박,12m미만,646.08,218,"165,000",,-,-,201812,29,,1988,-,-,-
51,서울특별시 구로구 구로동,집합,5**,구로중앙로,일반상업,판매,25m이상,34.51, ,"16,800",,-,-,201812,29,,2007,-,-,-
52,서울특별시 서대문구 북가좌동,집합,2**,증가로,제2종일반주거,제1종근린생활,25m미만,29.06, ,"15,000",,-,-,201812,29,,2017,-,-,-
53,서울특별시 동작구 상도동,집합,2**,성대로39길,제2종일반주거,제2종근린생활,25m미만,130.19, ,"31,000",,-,-,201812,29,,2008,-,-,-
54,서울특별시 영등포구 문래동1가,일반,7*,경인로78길,준공업,제2종근린생활,25m이상,37.69,70.1,"74,200",,-,-,201812,29,,,-,-,-
