국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),"회사채 3년(AA-, 평균)",CD 91물(평균),"콜금리(1일물,평균)",기준금리,거래년도,거래분기
2.87,3.20,3.57,3.30,2.65,2.49,2.50,2014,1Q
2.82,3.07,3.41,3.25,2.65,2.49,2.50,2014,2Q
2.50,2.73,3.05,2.89,2.51,2.35,2.00,2014,3Q
2.17,2.36,2.71,2.51,2.16,2.01,2.00,2014,4Q
1.98,2.08,2.35,2.26,2.07,1.93,1.75,2015,1Q
1.80,2.00,2.38,2.04,1.77,1.68,1.50,2015,2Q
1.72,1.95,2.32,1.98,1.63,1.48,1.50,2015,3Q
1.70,1.88,2.17,2.07,1.61,1.48,1.50,2015,4Q
1.53,1.66,1.90,2.01,1.65,1.49,1.50,2016,1Q
1.42,1.51,1.74,1.88,1.54,1.42,1.25,2016,2Q
1.26,1.29,1.44,1.67,1.35,1.23,1.25,2016,3Q
1.55,1.67,1.91,1.99,1.44,1.23,1.25,2016,4Q
1.67,1.86,2.17,2.15,1.49,1.23,1.25,2017,1Q
1.68,1.88,2.20,2.21,1.40,1.23,1.25,2017,2Q
1.77,1.97,2.28,2.31,1.39,1.24,1.25,2017,3Q
2.10,2.31,2.49,2.65,1.50,1.34,1.50,2017,4Q
2.24,2.49,2.70,2.79,1.65,1.49,1.50,2018,1Q
2.21,2.47,2.69,2.82,1.65,1.49,1.50,2018,2Q
2.03,2.25,2.45,2.62,1.65,1.51,1.50,2018,3Q
1.93,2.04,2.18,2.39,1.76,1.60,1.75,2018,4Q
1.80,1.86,1.98,2.25,1.88,1.76,1.75,2019,1Q
1.64,1.68,1.79,2.13,1.84,1.75,1.75,2019,2Q
1.28,1.33,1.40,1.79,1.57,1.55,1.50,2019,3Q
1.41,1.51,1.66,1.94,1.50,1.30,1.25,2019,4Q
1.23,1.36,1.56,1.88,1.37,1.16,0.75,2020,1Q
0.92,1.17,1.43,2.18,0.97,0.64,0.50,2020,2Q
0.85,1.13,1.41,2.22,0.70,0.49,0.50,2020,3Q
0.95,1.28,1.60,2.23,0.65,0.50,0.50,2020,4Q
1.04,1.41,1.88,2.10,0.72,0.49,0.50,2021,1Q
1.19,1.64,2.09,1.93,0.69,0.49,0.50,2021,2Q
1.45,1.71,1.98,1.89,0.81,0.62,0.75,2021,3Q
1.87,2.10,2.31,2.41,1.18,0.85,1.00,2021,4Q
2.24,2.46,2.66,2.85,1.47,1.22,1.25,2022,1Q
3.14,3.33,3.38,3.87,1.80,1.52,1.75,2022,2Q
3.45,3.50,3.50,4.41,2.73,2.26,2.50,2022,3Q
3.91,3.92,3.89,5.41,3.91,3.10,3.25,2022,4Q
3.46,3.45,3.44,4.38,3.64,3.37,3.50,2023,1Q
3.38,3.38,3.45,4.19,3.63,3.53,3.50,2023,2Q
3.73,3.76,3.83,4.51,3.74,3.55,3.50,2023,3Q
3.71,3.77,3.85,4.49,3.83,3.58,3.50,2023,4Q
3.31,3.34,3.39,4.00,3.69,3.51,3.50,2024,1Q
3.38,3.42,3.48,3.86,3.59,3.53,3.50,2024,2Q
