거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,가락동,단독다가구,418.8164116241611
2014,1Q,가락동,아파트,949.9043580745506
2014,1Q,가락동,연립다세대,511.8504027996978
2014,1Q,가락동,오피스텔,358.6204501616662
2014,1Q,가리봉동,단독다가구,394.62189804026406
2014,1Q,가리봉동,아파트,308.4765571510004
2014,1Q,가리봉동,연립다세대,334.9083287021475
2014,1Q,가리봉동,오피스텔,306.2194168013782
2014,1Q,가산동,단독다가구,202.52339190945673
2014,1Q,가산동,아파트,394.93767001846936
2014,1Q,가산동,연립다세대,300.169605030836
2014,1Q,가산동,오피스텔,623.7507871328838
2014,1Q,가양동,단독다가구,226.18800423783668
2014,1Q,가양동,아파트,496.80836685581636
2014,1Q,가양동,오피스텔,381.2072060351152
2014,1Q,가회동,단독다가구,1245.531397903211
2014,1Q,갈월동,아파트,547.0329408966584
2014,1Q,갈월동,연립다세대,668.9659237555293
2014,1Q,갈월동,오피스텔,631.2560542460446
2014,1Q,갈현동,단독다가구,326.15004357536174
2014,1Q,갈현동,아파트,332.02001018885824
2014,1Q,갈현동,연립다세대,306.1187098499785
2014,1Q,강일동,아파트,511.38323065316234
2014,1Q,강일동,오피스텔,370.9949409780776
2014,1Q,개봉동,단독다가구,264.0844618612994
2014,1Q,개봉동,아파트,414.19339313967924
2014,1Q,개봉동,연립다세대,308.1866324369772
2014,1Q,개포동,아파트,1273.373395148726
2014,1Q,개포동,연립다세대,505.7448446965236
2014,1Q,개포동,오피스텔,458.77494096555307
2014,1Q,개화동,단독다가구,540.1537832787851
2014,1Q,거여동,단독다가구,545.2491022586258
2014,1Q,거여동,아파트,534.9759793354012
2014,1Q,거여동,연립다세대,478.22645001265954
2014,1Q,견지동,오피스텔,573.4878749335674
2014,1Q,경운동,오피스텔,628.775291218345
2014,1Q,계동,단독다가구,637.5808361417251
2014,1Q,계동,연립다세대,514.8888698189307
2014,1Q,고덕동,단독다가구,309.26466734647124
2014,1Q,고덕동,아파트,797.6464950297939
2014,1Q,고덕동,연립다세대,411.5376658758141
2014,1Q,고척동,단독다가구,464.32110686739543
2014,1Q,고척동,아파트,394.5863680525691
2014,1Q,고척동,연립다세대,320.2159207860477
2014,1Q,고척동,오피스텔,479.45205479452056
2014,1Q,공덕동,단독다가구,317.435506688672
2014,1Q,공덕동,아파트,690.6189436909914
2014,1Q,공덕동,연립다세대,576.4625338302418
2014,1Q,공덕동,오피스텔,587.2823009053805
2014,1Q,공릉동,단독다가구,323.48155380129805
2014,1Q,공릉동,아파트,419.25177395667333
2014,1Q,공릉동,연립다세대,465.2196849884169
2014,1Q,공릉동,오피스텔,555.80885970913
2014,1Q,공항동,단독다가구,212.3773572715479
2014,1Q,공항동,아파트,467.41671230370486
2014,1Q,공항동,연립다세대,388.5274535133864
