거래년도,거래분기,동,건물면적당_평균거래가(만원/㎡)
2014,1Q,가락동,832.9159280457887
2014,1Q,가리봉동,339.6573344786205
2014,1Q,가산동,408.40957446866463
2014,1Q,가양동,487.24492966234766
2014,1Q,가회동,1245.531397903211
2014,1Q,갈월동,647.9834267634669
2014,1Q,갈현동,311.8328174369203
2014,1Q,강일동,509.5833807855331
2014,1Q,개봉동,374.88591836494965
2014,1Q,개포동,1143.8568248200315
2014,1Q,개화동,540.1537832787851
2014,1Q,거여동,526.9799971395009
2014,1Q,견지동,573.4878749335674
2014,1Q,경운동,628.775291218345
2014,1Q,계동,576.2348529803279
2014,1Q,고덕동,763.7515083306736
2014,1Q,고척동,387.08570496506456
2014,1Q,공덕동,650.2495922367689
2014,1Q,공릉동,431.53993502745226
2014,1Q,공항동,369.89180063024685
2014,1Q,관철동,686.1822866980478
2014,1Q,광장동,680.16179825081
2014,1Q,광희동1가,639.7582381188938
2014,1Q,구기동,437.69892578470547
2014,1Q,구로동,420.0802553003276
2014,1Q,구산동,320.6291334147968
2014,1Q,구수동,532.5112245581324
2014,1Q,구의동,507.04950050453283
2014,1Q,군자동,502.7454205089349
2014,1Q,궁동,309.9794989252492
2014,1Q,권농동,734.0425531914893
2014,1Q,금호동1가,466.70996820573623
2014,1Q,금호동2가,707.1529394840744
2014,1Q,금호동3가,532.6482972450532
2014,1Q,금호동4가,694.9862388455939
2014,1Q,길동,526.8903758012189
2014,1Q,길음동,498.2577454072684
2014,1Q,낙원동,455.1571059671087
2014,1Q,남가좌동,465.9295596498912
2014,1Q,남대문로5가,776.9364253036756
2014,1Q,남산동2가,439.16320660677695
2014,1Q,남영동,793.832577278699
2014,1Q,남현동,496.6143639909957
2014,1Q,내곡동,256.20496397117694
2014,1Q,내발산동,496.00264450058876
2014,1Q,내수동,710.5865540022271
2014,1Q,내자동,1512.532411408816
2014,1Q,냉천동,602.8959058978949
2014,1Q,노고산동,668.4502633492662
2014,1Q,노량진동,522.7893550009812
2014,1Q,녹번동,349.61066581745325
2014,1Q,논현동,720.9138716520745
2014,1Q,누상동,483.42661233925975
2014,1Q,누하동,970.6729159175378
2014,1Q,능동,468.4999194297841
2014,1Q,답십리동,478.6436260431832
2014,1Q,당산동,545.7021570992631
2014,1Q,당산동1가,466.0133278216053
2014,1Q,당산동2가,497.576798679695
2014,1Q,당산동3가,527.8029287720071
2014,1Q,당산동4가,551.903417316846
2014,1Q,당산동5가,637.0576417664274
2014,1Q,당산동6가,793.2930897369083
2014,1Q,당인동,607.847584486278
2014,1Q,당주동,453.29055113712803
2014,1Q,대림동,445.260616696394
2014,1Q,대방동,535.665211916743
2014,1Q,대신동,174.40846462414976
2014,1Q,대조동,383.98453340161046
2014,1Q,대치동,1014.114944831127
2014,1Q,대현동,641.9146717014438
2014,1Q,대흥동,669.3332456639936
2014,1Q,도곡동,978.3930277987342
2014,1Q,도림동,468.1654765976406
2014,1Q,도봉동,339.6291645066146
2014,1Q,도선동,461.8590953793082
2014,1Q,도원동,592.3886807186256
2014,1Q,도화동,544.7600120146957
2014,1Q,독산동,342.861221202657
2014,1Q,돈암동,422.2648456794052
2014,1Q,동교동,538.6345839550469
2014,1Q,동빙고동,870.4626007420476
2014,1Q,동선동1가,481.283422459893
2014,1Q,동선동2가,216.878516480338
2014,1Q,동선동3가,298.9186654559334
2014,1Q,동선동4가,452.7800226340899
2014,1Q,동선동5가,407.17539352656064
2014,1Q,동소문동1가,307.19891807376
2014,1Q,동소문동4가,402.92119557296974
2014,1Q,동소문동5가,518.5718641007581
2014,1Q,동소문동6가,284.4396071973691
2014,1Q,동소문동7가,492.33756848609204
2014,1Q,동숭동,355.71061910149746
2014,1Q,동자동,707.332031341457
2014,1Q,동작동,600.6086358013509
2014,1Q,둔촌동,628.8802962058461
2014,1Q,등촌동,454.32467019501183
2014,1Q,마곡동,471.89914098547325
2014,1Q,마장동,524.6700996092983
2014,1Q,마천동,482.2311515123651
2014,1Q,마포동,433.22437660034035
2014,1Q,만리동1가,581.678919288265
2014,1Q,만리동2가,463.70191409032594
2014,1Q,망우동,407.7150281978697
2014,1Q,망원동,468.32373002868655
2014,1Q,면목동,393.21475529728383
2014,1Q,명륜1가,405.6775457396988
2014,1Q,명륜2가,636.228774608248
2014,1Q,명륜3가,302.70370086123694
2014,1Q,명륜4가,391.3731343283582
2014,1Q,명일동,534.9671037932854
2014,1Q,목동,613.6989735467655
2014,1Q,무악동,602.2186495976621
2014,1Q,묵동,402.1686881976119
2014,1Q,묵정동,418.97379106681433
2014,1Q,문래동1가,462.10884353741494
2014,1Q,문래동2가,450.5982807356396
2014,1Q,문래동3가,571.8205876627995
2014,1Q,문래동4가,469.4544287844332
2014,1Q,문래동5가,384.9424818612443
2014,1Q,문래동6가,402.30779193818194
2014,1Q,문배동,685.4864080067399
2014,1Q,문정동,594.6643481026488
2014,1Q,미근동,245.59967253376996
2014,1Q,미아동,407.736652915933
2014,1Q,반포동,1246.9861890527336
2014,1Q,방배동,723.5761424074782
2014,1Q,방이동,622.6384544305865
2014,1Q,방학동,334.72691279450345
2014,1Q,방화동,391.77034178549076
2014,1Q,번동,335.78523443521624
2014,1Q,보광동,690.4578387013017
2014,1Q,보문동1가,655.1724137931034
2014,1Q,보문동2가,604.3820302731631
2014,1Q,보문동3가,529.9180885805
2014,1Q,보문동4가,609.0014176866376
2014,1Q,보문동6가,384.4536744171245
2014,1Q,보문동7가,489.1980530911357
2014,1Q,본동,612.0690058226273
2014,1Q,봉천동,464.3128397057231
2014,1Q,부암동,522.7662972192812
2014,1Q,북가좌동,396.06806551345613
2014,1Q,북아현동,415.58477855031936
2014,1Q,불광동,416.2934447634811
2014,1Q,사근동,453.596771981496
2014,1Q,사당동,507.74520319767936
2014,1Q,사직동,709.1817537729369
2014,1Q,산림동,272.74781954801614
2014,1Q,산천동,577.0771233675448
2014,1Q,삼선동1가,298.56293691693594
2014,1Q,삼선동2가,497.5571050143333
2014,1Q,삼선동3가,531.0478768679811
2014,1Q,삼선동4가,424.75308782524047
2014,1Q,삼선동5가,431.48096838872726
2014,1Q,삼성동,952.7167906033399
2014,1Q,삼전동,471.79220053925667
2014,1Q,삼청동,593.8427068854635
2014,1Q,상계동,396.71586090613874
2014,1Q,상도1동,436.0155722233691
2014,1Q,상도동,539.9298685838852
2014,1Q,상봉동,420.1219638396007
2014,1Q,상수동,707.3765272756543
2014,1Q,상암동,726.5787320745033
2014,1Q,상왕십리동,753.9486992490894
2014,1Q,상월곡동,385.4736412253734
2014,1Q,상일동,662.0217309360816
2014,1Q,서계동,646.1398505205647
2014,1Q,서교동,596.0693625689722
2014,1Q,서빙고동,800.8732026419606
2014,1Q,서초동,746.2888634600619
2014,1Q,석관동,408.5120372590332
2014,1Q,석촌동,570.9758519818444
2014,1Q,성내동,516.7794209656162
2014,1Q,성북동,634.046159838549
2014,1Q,성북동1가,536.2178217688331
2014,1Q,성산동,478.9378737907101
2014,1Q,성수동1가,748.8451058447255
2014,1Q,성수동2가,634.4837880967249
2014,1Q,세곡동,653.2764859783547
2014,1Q,송정동,369.8452853966206
2014,1Q,송파동,639.1361076604642
2014,1Q,수색동,395.1538484571486
2014,1Q,수서동,772.1057443759745
2014,1Q,수송동,682.6330857612
2014,1Q,수유동,306.29213096248174
2014,1Q,순화동,681.77141586751
2014,1Q,숭인동,495.1967482052704
2014,1Q,시흥동,369.02100889637126
2014,1Q,신계동,807.2296511127222
2014,1Q,신공덕동,699.6983805601018
2014,1Q,신교동,487.8727509965339
2014,1Q,신길동,473.236001594162
2014,1Q,신내동,385.38492283434476
2014,1Q,신당동,567.7385394417724
2014,1Q,신대방동,506.357321742389
2014,1Q,신도림동,535.5942299871086
2014,1Q,신림동,431.4014927653742
2014,1Q,신문로1가,827.2876932686381
2014,1Q,신사동,427.5851969884939
2014,1Q,신설동,542.8704249822227
2014,1Q,신수동,539.7449883830495
2014,1Q,신영동,439.34440234533264
2014,1Q,신원동,463.29663962920046
2014,1Q,신월동,341.430648130393
2014,1Q,신정동,509.10363472223673
2014,1Q,신창동,456.2762086724078
2014,1Q,신천동,965.8789968385074
2014,1Q,신촌동,444.2702208284333
2014,1Q,쌍문동,334.0738346436621
2014,1Q,아현동,668.6019977415065
2014,1Q,안암동1가,538.6357192826533
2014,1Q,안암동2가,478.5829424477132
2014,1Q,안암동3가,271.5186707690628
2014,1Q,안암동4가,278.5920088406471
2014,1Q,안암동5가,599.4515030845055
2014,1Q,암사동,551.6675667881033
2014,1Q,압구정동,1227.9596127626876
2014,1Q,양재동,559.2303152929051
2014,1Q,양평동1가,556.66074229712
2014,1Q,양평동2가,397.4392128825816
2014,1Q,양평동3가,466.34378459522105
2014,1Q,양평동4가,477.1199583062081
2014,1Q,양평동5가,481.80648321088023
2014,1Q,양평동6가,389.33966208330787
2014,1Q,여의도동,680.2948809604247
2014,1Q,역삼동,776.7210482213848
2014,1Q,역촌동,343.61894043729177
2014,1Q,연건동,483.6236647947306
2014,1Q,연남동,482.93555961415
2014,1Q,연희동,441.3222800672407
2014,1Q,염리동,525.0753857107417
2014,1Q,염창동,478.8681409523902
2014,1Q,영등포동,513.4333153628662
2014,1Q,영등포동1가,1001.9533474489127
2014,1Q,영등포동2가,842.0768544884163
2014,1Q,영등포동4가,851.840196923349
2014,1Q,영등포동5가,152.25137674117266
2014,1Q,영등포동6가,230.55746730901583
2014,1Q,영등포동7가,504.71848579601937
2014,1Q,영등포동8가,581.2432359023243
2014,1Q,영천동,475.6034061896123
2014,1Q,예장동,781.7886041800463
2014,1Q,오금동,545.5882447889934
2014,1Q,오류동,409.6036624667432
2014,1Q,오장동,635.6810244886696
2014,1Q,옥수동,656.739411654101
2014,1Q,옥인동,824.2531696181525
2014,1Q,옥천동,434.375
2014,1Q,온수동,386.6915834412804
2014,1Q,외발산동,266.1038722701413
2014,1Q,용강동,871.13117612612
2014,1Q,용답동,286.04765819476137
2014,1Q,용두동,486.1211981303126
2014,1Q,용문동,554.7212288254508
2014,1Q,용산동2가,437.3208506336008
2014,1Q,용산동3가,1510.2515803915576
2014,1Q,용산동5가,1027.3516078744058
2014,1Q,우면동,766.089232651483
2014,1Q,우이동,340.84600540678343
2014,1Q,운니동,323.85744701921175
2014,1Q,원남동,505.4261811061709
2014,1Q,원서동,477.1387268690397
2014,1Q,원효로1가,866.5019308941689
2014,1Q,원효로2가,403.4427111350188
2014,1Q,원효로3가,644.9668468568317
2014,1Q,원효로4가,701.5351180548744
2014,1Q,월계동,407.4633442330368
2014,1Q,율현동,725.8347099164039
2014,1Q,을지로2가,762.8081888535695
2014,1Q,을지로5가,517.4740611053686
2014,1Q,을지로6가,681.819800732878
2014,1Q,응봉동,512.4118787904343
2014,1Q,응암동,339.70627731834287
2014,1Q,이문동,465.8115999377758
2014,1Q,이촌동,853.7585876637046
2014,1Q,이태원동,661.3989704260636
2014,1Q,이화동,428.31726975482496
2014,1Q,익선동,516.4168871473457
2014,1Q,인의동,522.0768759533142
2014,1Q,인현동2가,368.10066792652253
2014,1Q,일원동,833.1697854874099
2014,1Q,자곡동,802.904079852417
2014,1Q,자양동,588.8221161421897
2014,1Q,잠실동,1020.7505159589193
2014,1Q,잠원동,906.6474883182054
2014,1Q,장안동,448.95923058613766
2014,1Q,장위동,335.29314872864904
2014,1Q,장지동,695.2531123171647
2014,1Q,장충동1가,416.92680711327125
2014,1Q,장충동2가,301.0287382693727
2014,1Q,전농동,445.19655779449016
2014,1Q,정릉동,380.1788371536442
2014,1Q,제기동,487.32401280087026
2014,1Q,종로1가,684.6477251365205
2014,1Q,종암동,485.26545661371154
2014,1Q,주교동,440.599214932308
2014,1Q,주성동,989.9356541824782
2014,1Q,중계동,436.60812340428515
2014,1Q,중곡동,441.6777900808546
2014,1Q,중동,499.27791493530475
2014,1Q,중림동,631.1184101492117
2014,1Q,중화동,362.6808251108306
2014,1Q,증산동,402.2767430729262
2014,1Q,진관동,534.2226063018373
2014,1Q,창동,375.84617645753974
2014,1Q,창성동,717.4725672253708
2014,1Q,창신동,434.48078961787553
2014,1Q,창전동,611.4647455207606
2014,1Q,창천동,445.4828221889831
2014,1Q,천연동,527.1169340162515
2014,1Q,천왕동,492.0429105691766
2014,1Q,천호동,461.8308451649726
2014,1Q,청담동,927.589782176275
2014,1Q,청량리동,383.4961918219465
2014,1Q,청암동,728.022660637082
2014,1Q,청운동,607.0364230983989
2014,1Q,청파동1가,446.30720397363916
2014,1Q,청파동2가,614.9517342292748
2014,1Q,청파동3가,355.99435728239604
2014,1Q,체부동,754.7153159296716
2014,1Q,충무로4가,488.7785828802598
2014,1Q,충신동,367.0747803731597
2014,1Q,충정로2가,646.9428007889546
2014,1Q,충정로3가,494.9337194291296
2014,1Q,토정동,771.8310364015265
2014,1Q,통의동,1521.167773524707
2014,1Q,통인동,797.9282838712891
2014,1Q,팔판동,1430.676381004263
2014,1Q,평동,689.9152728506377
2014,1Q,평창동,488.60853609628475
2014,1Q,풍납동,542.3244101789581
2014,1Q,필동2가,1411.7729678337712
2014,1Q,필운동,484.4412712633335
2014,1Q,하계동,429.09468806814766
2014,1Q,하왕십리동,552.7120882291727
2014,1Q,하월곡동,470.7838069728505
2014,1Q,하중동,839.3730713174864
2014,1Q,한강로1가,798.7714995194887
2014,1Q,한강로2가,1045.6127007530708
2014,1Q,한강로3가,824.6322283592634
2014,1Q,한남동,979.5989322846626
2014,1Q,합동,594.0714088822012
2014,1Q,합정동,492.0608027186797
2014,1Q,항동,335.95046223863744
2014,1Q,행당동,595.2613774277648
2014,1Q,행촌동,338.9121766975355
2014,1Q,현석동,691.932860081054
2014,1Q,현저동,543.3214567186876
2014,1Q,혜화동,575.2961488128445
2014,1Q,홍은동,345.2410126876144
2014,1Q,홍익동,439.59677500901125
2014,1Q,홍제동,400.692569486199
2014,1Q,홍지동,236.1116577127958
2014,1Q,홍파동,762.9641318319806
2014,1Q,화곡동,358.7224452786946
2014,1Q,화양동,541.3964176289829
2014,1Q,황학동,610.5815242265248
2014,1Q,회기동,463.14261531639556
2014,1Q,회현동1가,822.8275504868972
2014,1Q,회현동2가,822.6456722621565
2014,1Q,효자동,761.7052676679917
2014,1Q,효제동,432.7356700629568
2014,1Q,효창동,525.5149488656623
2014,1Q,후암동,467.3915729260891
2014,1Q,휘경동,408.22730564989223
2014,1Q,흑석동,613.4999986716814
2014,1Q,흥인동,841.6656229431845
2014,2Q,가락동,732.5065036537516
2014,2Q,가리봉동,287.98130759218697
2014,2Q,가산동,495.6133453274336
2014,2Q,가양동,463.94328205049254
2014,2Q,가회동,1270.9087882382003
2014,2Q,갈월동,670.3172353507714
2014,2Q,갈현동,327.63801696284406
2014,2Q,강일동,529.2838348535522
2014,2Q,개봉동,390.0851038162908
2014,2Q,개포동,1156.33351793038
2014,2Q,개화동,508.774172282859
2014,2Q,거여동,496.41200853558485
2014,2Q,견지동,420.37186742118024
2014,2Q,경운동,658.4865397238734
2014,2Q,계동,1212.8565469562986
2014,2Q,고덕동,773.7842558641474
2014,2Q,고척동,386.1552956116504
2014,2Q,공덕동,646.796631365637
2014,2Q,공릉동,410.3202167015067
2014,2Q,공항동,410.22232289457696
2014,2Q,관철동,660.1268193398886
2014,2Q,광장동,684.2926163518974
2014,2Q,광희동1가,603.1749593359959
2014,2Q,광희동2가,332.3809523809524
2014,2Q,구기동,398.54577937211167
2014,2Q,구로동,465.51757568301326
2014,2Q,구산동,329.5112583085718
2014,2Q,구의동,501.7413544155505
2014,2Q,군자동,429.24766582566605
2014,2Q,궁동,316.71878031039466
2014,2Q,궁정동,2637.579747869137
2014,2Q,권농동,875.9768086715402
2014,2Q,금호동1가,505.47920611844546
2014,2Q,금호동2가,679.0140211859396
2014,2Q,금호동3가,506.9207844147964
2014,2Q,금호동4가,646.892301075851
2014,2Q,길동,475.2965730805189
2014,2Q,길음동,496.3936513344873
2014,2Q,낙원동,433.8353126668406
2014,2Q,남가좌동,464.0640946594367
2014,2Q,남산동1가,1533.9805825242718
2014,2Q,남현동,499.7484140658721
2014,2Q,내발산동,453.07839984433235
2014,2Q,내수동,716.3759571140675
2014,2Q,냉천동,604.7644870985077
2014,2Q,노고산동,542.285807850325
2014,2Q,노량진동,495.04963512227476
2014,2Q,녹번동,365.6302067211486
2014,2Q,논현동,770.2736470195181
2014,2Q,누상동,457.8769013445482
2014,2Q,누하동,1484.4277052269426
2014,2Q,능동,506.2264946132909
2014,2Q,답십리동,466.6263839673324
2014,2Q,당산동,461.73253557400017
2014,2Q,당산동1가,460.5449562111153
2014,2Q,당산동2가,479.33809246085065
2014,2Q,당산동3가,593.9504595918823
2014,2Q,당산동4가,535.0356622194208
2014,2Q,당산동5가,709.3652892065429
2014,2Q,당산동6가,610.6142822546332
2014,2Q,당인동,463.3475231533498
2014,2Q,당주동,452.7499240352477
2014,2Q,대림동,424.72813319816214
2014,2Q,대방동,559.0742247425018
2014,2Q,대신동,432.4004941719934
2014,2Q,대조동,415.20022343909505
2014,2Q,대치동,980.6862161713448
2014,2Q,대현동,630.3515845898603
2014,2Q,대흥동,647.7506467061811
2014,2Q,도곡동,949.1560841565542
2014,2Q,도림동,455.5864146358898
2014,2Q,도봉동,337.6242795940614
2014,2Q,도선동,434.07922853317393
2014,2Q,도원동,623.8532844291691
2014,2Q,도화동,505.6118061888226
2014,2Q,독산동,337.0575771384301
2014,2Q,돈암동,423.1309352538098
