시,소비자물가지수,거래년도,거래분기
서울,92.885,2014,1Q
서울,93.334,2014,2Q
서울,93.638,2014,3Q
서울,93.343,2014,4Q
서울,94.005,2015,1Q
서울,94.244,2015,2Q
서울,94.827,2015,3Q
서울,94.805,2015,4Q
서울,95.217,2016,1Q
서울,95.312,2016,2Q
서울,95.614,2016,3Q
서울,96.197,2016,4Q
서울,97.255,2017,1Q
서울,97.327,2017,2Q
서울,97.919,2017,3Q
서울,97.475,2017,4Q
서울,98.313,2018,1Q
서울,98.659,2018,2Q
서울,99.16,2018,3Q
서울,99.065,2018,4Q
서울,99.028,2019,1Q
서울,99.427,2019,2Q
서울,99.412,2019,3Q
서울,99.66,2019,4Q
서울,99.82,2020,1Q
서울,99.72,2020,2Q
서울,100.24,2020,3Q
서울,100.21,2020,4Q
서울,101.25,2021,1Q
서울,101.7,2021,2Q
서울,102.29,2021,3Q
서울,103.14,2021,4Q
서울,104.63,2022,1Q
서울,106.29,2022,2Q
서울,107.63,2022,3Q
서울,108.19,2022,4Q
서울,109.53,2023,1Q
서울,110.27,2023,2Q
서울,111.47,2023,3Q
서울,112.25,2023,4Q
서울,112.9,2024,1Q
서울,113.32,2024,2Q
성남,93.775,2014,1Q
성남,94.133,2014,2Q
성남,94.326,2014,3Q
성남,93.916,2014,4Q
성남,94.461,2015,1Q
성남,94.689,2015,2Q
성남,94.967,2015,3Q
성남,94.818,2015,4Q
성남,95.301,2016,1Q
성남,95.469,2016,2Q
성남,95.63,2016,3Q
성남,96.097,2016,4Q
성남,97.436,2017,1Q
성남,97.345,2017,2Q
성남,97.796,2017,3Q
성남,97.603,2017,4Q
성남,98.465,2018,1Q
성남,98.806,2018,2Q
성남,99.372,2018,3Q
성남,99.334,2018,4Q
성남,98.977,2019,1Q
성남,99.51,2019,2Q
성남,99.413,2019,3Q
성남,99.684,2019,4Q
성남,100.03,2020,1Q
성남,99.54,2020,2Q
성남,100.19,2020,3Q
성남,100.22,2020,4Q
성남,101.53,2021,1Q
성남,102.09,2021,2Q
성남,102.8,2021,3Q
성남,103.85,2021,4Q
성남,105.48,2022,1Q
성남,107.54,2022,2Q
성남,108.7,2022,3Q
성남,109.17,2022,4Q
성남,110.32,2023,1Q
성남,111.02,2023,2Q
성남,112.09,2023,3Q
성남,112.75,2023,4Q
성남,113.53,2024,1Q
성남,113.89,2024,2Q
