거래년도,거래분기,권역,오피스_매매가격지수
2014,1Q,서울,54.72568118
2014,1Q,도심권,57.91391998
2014,1Q,강남권,50.95951641
2014,1Q,여의도권,55.54469657
2014,1Q,기타권,55.0211481
2014,1Q,영등포구로권,58.51529947
2014,1Q,강동송파권,55.73462004
2014,1Q,기타,53.93776557
2014,2Q,서울,55.33838464
2014,2Q,도심권,58.74102092
2014,2Q,강남권,51.44461256
2014,2Q,여의도권,56.29136617
2014,2Q,기타권,55.7298645
2014,2Q,영등포구로권,59.06628534
2014,2Q,강동송파권,56.33392529
2014,2Q,기타,54.71809434
2014,3Q,서울,55.07524724
2014,3Q,도심권,58.5987803
2014,3Q,강남권,51.20171105
2014,3Q,여의도권,56.11160557
2014,3Q,기타권,55.39403003
2014,3Q,영등포구로권,58.60281856
2014,3Q,강동송파권,56.02729038
2014,3Q,기타,54.40557985
2014,4Q,서울,56.44812644
2014,4Q,도심권,60.08502685
2014,4Q,강남권,52.58934253
2014,4Q,여의도권,57.49984463
2014,4Q,기타권,56.67123819
2014,4Q,영등포구로권,59.80693418
2014,4Q,강동송파권,57.40534039
2014,4Q,기타,55.67140178
2015,1Q,서울,57.3081911
2015,1Q,도심권,60.82455713
2015,1Q,강남권,53.60135046
2015,1Q,여의도권,58.36691681
2015,1Q,기타권,57.46392714
2015,1Q,영등포구로권,60.47301382
2015,1Q,강동송파권,58.28938524
2015,1Q,기타,56.46887367
2015,2Q,서울,57.56776384
2015,2Q,도심권,60.91233759
2015,2Q,강남권,54.03854424
2015,2Q,여의도권,58.66389102
2015,2Q,기타권,57.62859524
2015,2Q,영등포구로권,60.54886526
2015,2Q,강동송파권,58.57977349
2015,2Q,기타,56.61876943
2015,3Q,서울,58.32164502
2015,3Q,도심권,61.64874452
2015,3Q,강남권,54.86239495
2015,3Q,여의도권,59.51376685
2015,3Q,기타권,58.25699705
2015,3Q,영등포구로권,61.13950621
2015,3Q,강동송파권,59.45891816
2015,3Q,기타,57.18286355
2015,4Q,서울,59.19810596
2015,4Q,도심권,62.48099863
