거래년도,거래분기,지역구분(1),지역구분(2),항목,값
2014,1Q,경기,분당역세권,동수(동),6
2014,1Q,경기,분당역세권,평균층수(층),9.8
2014,1Q,경기,분당역세권,평균연면적(㎡),16729
2014,1Q,경기,분당역세권,임대가격지수(2021.4Q=100),98.53278454547348
2014,1Q,경기,분당역세권,공실률(%),21.5
2014,1Q,경기,분당역세권,임대료(천원/㎡),16.516718746427447
2014,1Q,경기,분당역세권,전환율(%),12
2014,1Q,경기,분당역세권,소득수익률(%),1.6929424032421847
2014,1Q,경기,분당역세권,자본수익률(%),-0.32949703242348966
2014,1Q,경기,분당역세권,투자수익률(%),1.363445370818695
2014,1Q,경기,분당역세권,임대수입(%),99.42204361463124
2014,1Q,경기,분당역세권,기타수입(%),0.5779563853687599
2014,1Q,경기,분당역세권,영업경비(%),29.867648404304187
2014,1Q,경기,분당역세권,순영업소득(%),70.13235159569581
2014,1Q,경기,분당역세권,순영업소득(천원/㎡),36
2014,1Q,서울,강남대로,동수(동),15
2014,1Q,서울,강남대로,평균층수(층),13
2014,1Q,서울,강남대로,평균연면적(㎡),8970
2014,1Q,서울,강남대로,임대가격지수(2021.4Q=100),102.63771038273481
2014,1Q,서울,강남대로,공실률(%),12.8
2014,1Q,서울,강남대로,임대료(천원/㎡),23.854681581136276
2014,1Q,서울,강남대로,전환율(%),12.4
2014,1Q,서울,강남대로,소득수익률(%),0.9662856436295366
2014,1Q,서울,강남대로,자본수익률(%),0.24859576337821085
2014,1Q,서울,강남대로,투자수익률(%),1.2148814070077474
2014,1Q,서울,강남대로,임대수입(%),99.72824244434575
2014,1Q,서울,강남대로,기타수입(%),0.2717575556542526
2014,1Q,서울,강남대로,영업경비(%),19.561651870407516
2014,1Q,서울,강남대로,순영업소득(%),80.43834812959248
2014,1Q,서울,강남대로,순영업소득(천원/㎡),68
2014,1Q,서울,계,동수(동),406
2014,1Q,서울,계,평균층수(층),10.5
2014,1Q,서울,계,평균연면적(㎡),9266
2014,1Q,서울,계,임대가격지수(2021.4Q=100),102.54056659930902
2014,1Q,서울,계,공실률(%),8.9
2014,1Q,서울,계,임대료(천원/㎡),20.441567437191498
2014,1Q,서울,계,전환율(%),11.8
2014,1Q,서울,계,소득수익률(%),1.3910667752580614
2014,1Q,서울,계,자본수익률(%),0.18481094412942223
2014,1Q,서울,계,투자수익률(%),1.5758777193874838
2014,1Q,서울,계,임대수입(%),98.9095119981629
2014,1Q,서울,계,기타수입(%),1.0904880018371017
2014,1Q,서울,계,영업경비(%),23.798965118701783
2014,1Q,서울,계,순영업소득(%),76.20103488129821
2014,1Q,서울,계,순영업소득(천원/㎡),53
2014,1Q,서울,공덕역,동수(동),7
2014,1Q,서울,공덕역,평균층수(층),15.6
2014,1Q,서울,공덕역,평균연면적(㎡),20721
2014,1Q,서울,공덕역,임대가격지수(2021.4Q=100),102.45268631101953
2014,1Q,서울,공덕역,공실률(%),3.2
2014,1Q,서울,공덕역,임대료(천원/㎡),16.369239093949812
2014,1Q,서울,공덕역,전환율(%),10.2
2014,1Q,서울,공덕역,소득수익률(%),1.5669976881388783
2014,1Q,서울,공덕역,자본수익률(%),-0.05370790864564678
2014,1Q,서울,공덕역,투자수익률(%),1.5132897794932316
2014,1Q,서울,공덕역,임대수입(%),99.14442417177632
2014,1Q,서울,공덕역,기타수입(%),0.855575828223685
2014,1Q,서울,공덕역,영업경비(%),31.96930208353308
2014,1Q,서울,공덕역,순영업소득(%),68.03069791646692
2014,1Q,서울,공덕역,순영업소득(천원/㎡),46
2014,1Q,서울,광화문,동수(동),17
2014,1Q,서울,광화문,평균층수(층),11.6
2014,1Q,서울,광화문,평균연면적(㎡),15512
2014,1Q,서울,광화문,임대가격지수(2021.4Q=100),99.99896535452952
2014,1Q,서울,광화문,공실률(%),7.8
2014,1Q,서울,광화문,임대료(천원/㎡),21.3072186153039
2014,1Q,서울,광화문,전환율(%),11.5
2014,1Q,서울,광화문,소득수익률(%),1.609871922991689
2014,1Q,서울,광화문,자본수익률(%),0.05231884429118326
2014,1Q,서울,광화문,투자수익률(%),1.662190767282872
2014,1Q,서울,광화문,임대수입(%),99.05326437896946
2014,1Q,서울,광화문,기타수입(%),0.9467356210305405
2014,1Q,서울,광화문,영업경비(%),26.098656488678234
2014,1Q,서울,광화문,순영업소득(%),73.90134351132177
2014,1Q,서울,광화문,순영업소득(천원/㎡),55
2014,1Q,서울,교대역,동수(동),
2014,1Q,서울,교대역,평균층수(층),
2014,1Q,서울,교대역,평균연면적(㎡),
2014,1Q,서울,교대역,임대가격지수(2021.4Q=100),
2014,1Q,서울,교대역,공실률(%),
2014,1Q,서울,교대역,임대료(천원/㎡),
2014,1Q,서울,교대역,전환율(%),
2014,1Q,서울,교대역,소득수익률(%),
2014,1Q,서울,교대역,자본수익률(%),
2014,1Q,서울,교대역,투자수익률(%),
2014,1Q,서울,교대역,임대수입(%),
2014,1Q,서울,교대역,기타수입(%),
2014,1Q,서울,교대역,영업경비(%),
2014,1Q,서울,교대역,순영업소득(%),
2014,1Q,서울,교대역,순영업소득(천원/㎡),
2014,1Q,서울,남대문,동수(동),13
2014,1Q,서울,남대문,평균층수(층),13.1
2014,1Q,서울,남대문,평균연면적(㎡),18479
2014,1Q,서울,남대문,임대가격지수(2021.4Q=100),99.71469126418965
2014,1Q,서울,남대문,공실률(%),2.5
2014,1Q,서울,남대문,임대료(천원/㎡),21.47872402343822
2014,1Q,서울,남대문,전환율(%),12
2014,1Q,서울,남대문,소득수익률(%),2.021797756915008
2014,1Q,서울,남대문,자본수익률(%),-0.2364016712062565
2014,1Q,서울,남대문,투자수익률(%),1.7853960857087514
2014,1Q,서울,남대문,임대수입(%),98.64237170243658
2014,1Q,서울,남대문,기타수입(%),1.3576282975634215
2014,1Q,서울,남대문,영업경비(%),23.90565901485969
2014,1Q,서울,남대문,순영업소득(%),76.0943409851403
2014,1Q,서울,남대문,순영업소득(천원/㎡),62
2014,1Q,서울,남부터미널,동수(동),
2014,1Q,서울,남부터미널,평균층수(층),
2014,1Q,서울,남부터미널,평균연면적(㎡),
2014,1Q,서울,남부터미널,임대가격지수(2021.4Q=100),
2014,1Q,서울,남부터미널,공실률(%),
2014,1Q,서울,남부터미널,임대료(천원/㎡),
2014,1Q,서울,남부터미널,전환율(%),
2014,1Q,서울,남부터미널,소득수익률(%),
2014,1Q,서울,남부터미널,자본수익률(%),
2014,1Q,서울,남부터미널,투자수익률(%),
2014,1Q,서울,남부터미널,임대수입(%),
2014,1Q,서울,남부터미널,기타수입(%),
2014,1Q,서울,남부터미널,영업경비(%),
2014,1Q,서울,남부터미널,순영업소득(%),
2014,1Q,서울,남부터미널,순영업소득(천원/㎡),
2014,1Q,서울,논현역,동수(동),
2014,1Q,서울,논현역,평균층수(층),
2014,1Q,서울,논현역,평균연면적(㎡),
2014,1Q,서울,논현역,임대가격지수(2021.4Q=100),
2014,1Q,서울,논현역,공실률(%),
2014,1Q,서울,논현역,임대료(천원/㎡),
2014,1Q,서울,논현역,전환율(%),
2014,1Q,서울,논현역,소득수익률(%),
2014,1Q,서울,논현역,자본수익률(%),
2014,1Q,서울,논현역,투자수익률(%),
2014,1Q,서울,논현역,임대수입(%),
2014,1Q,서울,논현역,기타수입(%),
2014,1Q,서울,논현역,영업경비(%),
2014,1Q,서울,논현역,순영업소득(%),
2014,1Q,서울,논현역,순영업소득(천원/㎡),
2014,1Q,서울,당산역,동수(동),
2014,1Q,서울,당산역,평균층수(층),
2014,1Q,서울,당산역,평균연면적(㎡),
2014,1Q,서울,당산역,임대가격지수(2021.4Q=100),
2014,1Q,서울,당산역,공실률(%),
2014,1Q,서울,당산역,임대료(천원/㎡),
2014,1Q,서울,당산역,전환율(%),
2014,1Q,서울,당산역,소득수익률(%),
2014,1Q,서울,당산역,자본수익률(%),
2014,1Q,서울,당산역,투자수익률(%),
2014,1Q,서울,당산역,임대수입(%),
2014,1Q,서울,당산역,기타수입(%),
2014,1Q,서울,당산역,영업경비(%),
2014,1Q,서울,당산역,순영업소득(%),
2014,1Q,서울,당산역,순영업소득(천원/㎡),
2014,1Q,서울,도산대로,동수(동),10
2014,1Q,서울,도산대로,평균층수(층),10
2014,1Q,서울,도산대로,평균연면적(㎡),6386
2014,1Q,서울,도산대로,임대가격지수(2021.4Q=100),100.67924177340264
2014,1Q,서울,도산대로,공실률(%),8.7
2014,1Q,서울,도산대로,임대료(천원/㎡),19.10023905978718
2014,1Q,서울,도산대로,전환율(%),13.7
2014,1Q,서울,도산대로,소득수익률(%),1.0296872499411545
2014,1Q,서울,도산대로,자본수익률(%),0.734809727753514
2014,1Q,서울,도산대로,투자수익률(%),1.7644969776946684
2014,1Q,서울,도산대로,임대수입(%),95.0493547440184
2014,1Q,서울,도산대로,기타수입(%),4.950645255981592
2014,1Q,서울,도산대로,영업경비(%),22.585846160276425
2014,1Q,서울,도산대로,순영업소득(%),77.41415383972358
2014,1Q,서울,도산대로,순영업소득(천원/㎡),47
2014,1Q,서울,동대문,동수(동),17
2014,1Q,서울,동대문,평균층수(층),9.1
2014,1Q,서울,동대문,평균연면적(㎡),4472
2014,1Q,서울,동대문,임대가격지수(2021.4Q=100),109.96841521508694
2014,1Q,서울,동대문,공실률(%),6.2
2014,1Q,서울,동대문,임대료(천원/㎡),16.97134321980374
2014,1Q,서울,동대문,전환율(%),11.1
2014,1Q,서울,동대문,소득수익률(%),1.3889746305737007
2014,1Q,서울,동대문,자본수익률(%),-0.3307099797202529
2014,1Q,서울,동대문,투자수익률(%),1.058264650853448
2014,1Q,서울,동대문,임대수입(%),98.23199818319661
2014,1Q,서울,동대문,기타수입(%),1.7680018168033915
2014,1Q,서울,동대문,영업경비(%),24.82433488759887
2014,1Q,서울,동대문,순영업소득(%),75.17566511240113
2014,1Q,서울,동대문,순영업소득(천원/㎡),39
2014,1Q,서울,명동,동수(동),18
2014,1Q,서울,명동,평균층수(층),11.9
2014,1Q,서울,명동,평균연면적(㎡),8917
2014,1Q,서울,명동,임대가격지수(2021.4Q=100),111.47895742609015
2014,1Q,서울,명동,공실률(%),7.4
2014,1Q,서울,명동,임대료(천원/㎡),23.38723528088972
2014,1Q,서울,명동,전환율(%),10.5
2014,1Q,서울,명동,소득수익률(%),1.3759102426271943
2014,1Q,서울,명동,자본수익률(%),0.5182250774577739
2014,1Q,서울,명동,투자수익률(%),1.8941353200849687
2014,1Q,서울,명동,임대수입(%),99.25402012026743
2014,1Q,서울,명동,기타수입(%),0.7459798797325754
2014,1Q,서울,명동,영업경비(%),15.513846841151436
2014,1Q,서울,명동,순영업소득(%),84.48615315884857
2014,1Q,서울,명동,순영업소득(천원/㎡),72
2014,1Q,서울,목동,동수(동),9
2014,1Q,서울,목동,평균층수(층),9.7
2014,1Q,서울,목동,평균연면적(㎡),10979
2014,1Q,서울,목동,임대가격지수(2021.4Q=100),101.1384985754527
2014,1Q,서울,목동,공실률(%),4.9
