거래년도,거래분기,지역구분(1),지역구분(2),규모,항목,값
2014,1Q,서울,계,대형,공실률(%),6.3
2014,1Q,서울,계,대형,동수(동),29
2014,1Q,서울,계,대형,임대료(천원/㎡),24.4
2014,1Q,서울,계,전체,공실률(%),8.9
2014,1Q,서울,계,전체,동수(동),406
2014,1Q,서울,계,전체,임대료(천원/㎡),20.4
2014,1Q,서울,계,중소형,공실률(%),10.4
2014,1Q,서울,계,중소형,동수(동),377
2014,1Q,서울,계,중소형,임대료(천원/㎡),18
2014,1Q,서울,소계(강남지역),대형,공실률(%),6.7
2014,1Q,서울,소계(강남지역),대형,동수(동),5
2014,1Q,서울,소계(강남지역),대형,임대료(천원/㎡),24.4
2014,1Q,서울,소계(강남지역),전체,공실률(%),10.1
2014,1Q,서울,소계(강남지역),전체,동수(동),136
2014,1Q,서울,소계(강남지역),전체,임대료(천원/㎡),21.5
2014,1Q,서울,소계(강남지역),중소형,공실률(%),11
2014,1Q,서울,소계(강남지역),중소형,동수(동),131
2014,1Q,서울,소계(강남지역),중소형,임대료(천원/㎡),20.6
2014,1Q,서울,소계(기타지역),대형,공실률(%),2.9
2014,1Q,서울,소계(기타지역),대형,동수(동),2
2014,1Q,서울,소계(기타지역),대형,임대료(천원/㎡),13.5
2014,1Q,서울,소계(기타지역),전체,공실률(%),10.2
2014,1Q,서울,소계(기타지역),전체,동수(동),75
2014,1Q,서울,소계(기타지역),전체,임대료(천원/㎡),14
2014,1Q,서울,소계(기타지역),중소형,공실률(%),11.7
2014,1Q,서울,소계(기타지역),중소형,동수(동),73
2014,1Q,서울,소계(기타지역),중소형,임대료(천원/㎡),14.1
2014,1Q,서울,소계(도심지역),대형,공실률(%),6.2
2014,1Q,서울,소계(도심지역),대형,동수(동),12
2014,1Q,서울,소계(도심지역),대형,임대료(천원/㎡),28.9
2014,1Q,서울,소계(도심지역),전체,공실률(%),8.2
2014,1Q,서울,소계(도심지역),전체,동수(동),96
2014,1Q,서울,소계(도심지역),전체,임대료(천원/㎡),24.3
2014,1Q,서울,소계(도심지역),중소형,공실률(%),10.2
2014,1Q,서울,소계(도심지역),중소형,동수(동),84
2014,1Q,서울,소계(도심지역),중소형,임대료(천원/㎡),19.3
2014,1Q,서울,소계(여의도마포지역),대형,공실률(%),7.8
2014,1Q,서울,소계(여의도마포지역),대형,동수(동),7
2014,1Q,서울,소계(여의도마포지역),대형,임대료(천원/㎡),22.8
2014,1Q,서울,소계(여의도마포지역),전체,공실률(%),8
2014,1Q,서울,소계(여의도마포지역),전체,동수(동),46
2014,1Q,서울,소계(여의도마포지역),전체,임대료(천원/㎡),18.4
2014,1Q,서울,소계(여의도마포지역),중소형,공실률(%),8.1
2014,1Q,서울,소계(여의도마포지역),중소형,동수(동),39
2014,1Q,서울,소계(여의도마포지역),중소형,임대료(천원/㎡),15
2014,2Q,서울,계,대형,공실률(%),11
2014,2Q,서울,계,대형,동수(동),29
2014,2Q,서울,계,대형,임대료(천원/㎡),24.4
2014,2Q,서울,계,전체,공실률(%),10.4
2014,2Q,서울,계,전체,동수(동),406
2014,2Q,서울,계,전체,임대료(천원/㎡),20.5
2014,2Q,서울,계,중소형,공실률(%),10.1
2014,2Q,서울,계,중소형,동수(동),377
2014,2Q,서울,계,중소형,임대료(천원/㎡),18
2014,2Q,서울,소계(강남지역),대형,공실률(%),6.7
2014,2Q,서울,소계(강남지역),대형,동수(동),5
2014,2Q,서울,소계(강남지역),대형,임대료(천원/㎡),24.4
2014,2Q,서울,소계(강남지역),전체,공실률(%),10.1
2014,2Q,서울,소계(강남지역),전체,동수(동),136
2014,2Q,서울,소계(강남지역),전체,임대료(천원/㎡),21.5
2014,2Q,서울,소계(강남지역),중소형,공실률(%),11.1
2014,2Q,서울,소계(강남지역),중소형,동수(동),131
2014,2Q,서울,소계(강남지역),중소형,임대료(천원/㎡),20.6
2014,2Q,서울,소계(기타지역),대형,공실률(%),3.1
2014,2Q,서울,소계(기타지역),대형,동수(동),2
2014,2Q,서울,소계(기타지역),대형,임대료(천원/㎡),13.5
2014,2Q,서울,소계(기타지역),전체,공실률(%),8.7
2014,2Q,서울,소계(기타지역),전체,동수(동),75
2014,2Q,서울,소계(기타지역),전체,임대료(천원/㎡),14
2014,2Q,서울,소계(기타지역),중소형,공실률(%),9.9
2014,2Q,서울,소계(기타지역),중소형,동수(동),73
2014,2Q,서울,소계(기타지역),중소형,임대료(천원/㎡),14.1
2014,2Q,서울,소계(도심지역),대형,공실률(%),13.8
2014,2Q,서울,소계(도심지역),대형,동수(동),12
2014,2Q,서울,소계(도심지역),대형,임대료(천원/㎡),28.9
2014,2Q,서울,소계(도심지역),전체,공실률(%),12.2
2014,2Q,서울,소계(도심지역),전체,동수(동),96
2014,2Q,서울,소계(도심지역),전체,임대료(천원/㎡),24.3
2014,2Q,서울,소계(도심지역),중소형,공실률(%),10.4
2014,2Q,서울,소계(도심지역),중소형,동수(동),84
2014,2Q,서울,소계(도심지역),중소형,임대료(천원/㎡),19.3
2014,2Q,서울,소계(여의도마포지역),대형,공실률(%),10.2
2014,2Q,서울,소계(여의도마포지역),대형,동수(동),7
2014,2Q,서울,소계(여의도마포지역),대형,임대료(천원/㎡),22.9
2014,2Q,서울,소계(여의도마포지역),전체,공실률(%),8.7
2014,2Q,서울,소계(여의도마포지역),전체,동수(동),46
2014,2Q,서울,소계(여의도마포지역),전체,임대료(천원/㎡),18.4
2014,2Q,서울,소계(여의도마포지역),중소형,공실률(%),7.5
2014,2Q,서울,소계(여의도마포지역),중소형,동수(동),39
2014,2Q,서울,소계(여의도마포지역),중소형,임대료(천원/㎡),15
2014,3Q,서울,계,대형,공실률(%),11.437072854110683
2014,3Q,서울,계,대형,동수(동),29
2014,3Q,서울,계,대형,임대료(천원/㎡),24.466159812321138
2014,3Q,서울,계,전체,공실률(%),10.361159766131072
2014,3Q,서울,계,전체,동수(동),406
2014,3Q,서울,계,전체,임대료(천원/㎡),20.46460815504269
2014,3Q,서울,계,중소형,공실률(%),9.749620721135985
2014,3Q,서울,계,중소형,동수(동),377
2014,3Q,서울,계,중소형,임대료(천원/㎡),17.961925811019363
2014,3Q,서울,소계(강남지역),대형,공실률(%),6.7496253674330955
2014,3Q,서울,소계(강남지역),대형,동수(동),5
