거래년도,거래분기,지역구분(1),지역구분(2),층구분,항목,값
2014,4Q,경기,분당역세권,11층 이상,층별임대료(천원/㎡),16.341971354077604
2014,4Q,경기,분당역세권,11층 이상,층별효용비율(%),44.93521321007468
2014,4Q,경기,분당역세권,1층,층별임대료(천원/㎡),36.36785092724042
2014,4Q,경기,분당역세권,1층,층별효용비율(%),100
2014,4Q,경기,분당역세권,2층,층별임대료(천원/㎡),16.743640813059745
2014,4Q,경기,분당역세권,2층,층별효용비율(%),46.03967621446211
2014,4Q,경기,분당역세권,3층,층별임대료(천원/㎡),14.936433061217297
2014,4Q,경기,분당역세권,3층,층별효용비율(%),41.07043083491507
2014,4Q,경기,분당역세권,4층,층별임대료(천원/㎡),15.35199241153174
2014,4Q,경기,분당역세권,4층,층별효용비율(%),42.21308661390469
2014,4Q,경기,분당역세권,5층,층별임대료(천원/㎡),15.508138665393776
2014,4Q,경기,분당역세권,5층,층별효용비율(%),42.642439049863675
2014,4Q,경기,분당역세권,6~10층,층별임대료(천원/㎡),16.94349103562887
2014,4Q,경기,분당역세권,6~10층,층별효용비율(%),46.58920063637243
2014,4Q,경기,분당역세권,지하1층,층별임대료(천원/㎡),9.802732336200776
2014,4Q,경기,분당역세권,지하1층,층별효용비율(%),26.95438989730979
2014,4Q,서울,강남대로,11층 이상,층별임대료(천원/㎡),23.2360393761047
2014,4Q,서울,강남대로,11층 이상,층별효용비율(%),24.657504174269977
2014,4Q,서울,강남대로,1층,층별임대료(천원/㎡),94.23516350998504
2014,4Q,서울,강남대로,1층,층별효용비율(%),100
2014,4Q,서울,강남대로,2층,층별임대료(천원/㎡),43.082214617475586
2014,4Q,서울,강남대로,2층,층별효용비율(%),45.7177692623313
2014,4Q,서울,강남대로,3층,층별임대료(천원/㎡),24.407566525858716
2014,4Q,서울,강남대로,3층,층별효용비율(%),25.900699501914186
2014,4Q,서울,강남대로,4층,층별임대료(천원/㎡),23.88950283711672
2014,4Q,서울,강남대로,4층,층별효용비율(%),25.350943265021677
2014,4Q,서울,강남대로,5층,층별임대료(천원/㎡),23.483900432963786
2014,4Q,서울,강남대로,5층,층별효용비율(%),24.920528132235333
2014,4Q,서울,강남대로,6~10층,층별임대료(천원/㎡),23.1065189772983
2014,4Q,서울,강남대로,6~10층,층별효용비율(%),24.52006036456865
2014,4Q,서울,강남대로,지하1층,층별임대료(천원/㎡),19.421057024617607
2014,4Q,서울,강남대로,지하1층,층별효용비율(%),20.609140262763777
2014,4Q,서울,계,11층 이상,층별임대료(천원/㎡),22.324100581587935
2014,4Q,서울,계,11층 이상,층별효용비율(%),56.835541955075875
2014,4Q,서울,계,1층,층별임대료(천원/㎡),39.27841595886148
2014,4Q,서울,계,1층,층별효용비율(%),100
2014,4Q,서울,계,2층,층별임대료(천원/㎡),23.09767065207874
2014,4Q,서울,계,2층,층별효용비율(%),58.80499528359353
2014,4Q,서울,계,3층,층별임대료(천원/㎡),19.674795074280812
2014,4Q,서울,계,3층,층별효용비율(%),50.09060216401635
2014,4Q,서울,계,4층,층별임대료(천원/㎡),19.303140361287166
2014,4Q,서울,계,4층,층별효용비율(%),49.14439620351402
2014,4Q,서울,계,5층,층별임대료(천원/㎡),18.908552941774296
2014,4Q,서울,계,5층,층별효용비율(%),48.13980523445319
2014,4Q,서울,계,6~10층,층별임대료(천원/㎡),19.41883720007393
2014,4Q,서울,계,6~10층,층별효용비율(%),49.4389519689704
2014,4Q,서울,계,지하1층,층별임대료(천원/㎡),13.146012552677231
2014,4Q,서울,계,지하1층,층별효용비율(%),33.46879509205717
2014,4Q,서울,공덕역,11층 이상,층별임대료(천원/㎡),15.999590047313218
2014,4Q,서울,공덕역,11층 이상,층별효용비율(%),49.36842602890068
2014,4Q,서울,공덕역,1층,층별임대료(천원/㎡),32.40854800180773
2014,4Q,서울,공덕역,1층,층별효용비율(%),100
