구,거래년도,거래분기,APT매매
강남구,2014,3Q,55.878059
강남구,2014,4Q,56.32141166666667
강남구,2015,1Q,56.61877533333333
강남구,2015,2Q,57.522446
강남구,2015,3Q,58.733925
강남구,2015,4Q,59.88748666666667
강남구,2016,1Q,60.085843000000004
강남구,2016,2Q,60.55827933333333
강남구,2016,3Q,61.982610666666666
강남구,2016,4Q,63.25880466666666
강남구,2017,1Q,63.25185533333333
강남구,2017,2Q,63.87289366666667
강남구,2017,3Q,65.31755199999999
강남구,2017,4Q,66.607395
강남구,2018,1Q,70.52394566666668
강남구,2018,2Q,73.29530133333333
강남구,2018,3Q,75.14011833333333
강남구,2018,4Q,77.58689633333334
강남구,2019,1Q,76.98787066666667
강남구,2019,2Q,76.11097066666666
강남구,2019,3Q,76.91274133333333
강남구,2019,4Q,79.445867
강남구,2020,1Q,81.81752466666667
강남구,2020,2Q,81.71237933333333
강남구,2020,3Q,84.64746566666668
강남구,2020,4Q,87.57473699999998
강남구,2021,1Q,90.29917066666667
강남구,2021,2Q,92.52010866666667
강남구,2021,3Q,95.31233633333333
강남구,2021,4Q,98.59200033333333
강남구,2022,1Q,100.18342442333334
강남구,2022,2Q,100.94180868876667
강남구,2022,3Q,101.63203246616666
강남구,2022,4Q,100.09072589266667
강남구,2023,1Q,96.2174256395
강남구,2023,2Q,94.98758544283334
강남구,2023,3Q,96.03372818666666
강남구,2023,4Q,97.18377776333334
강남구,2024,1Q,97.16502022666667
강남구,2024,2Q,97.27151256333333
강남구,2024,3Q,99.36022845
강동구,2014,3Q,58.1571125
강동구,2014,4Q,58.525201333333335
강동구,2015,1Q,58.93647066666667
강동구,2015,2Q,60.08186833333334
강동구,2015,3Q,61.115574333333335
강동구,2015,4Q,61.82450533333333
강동구,2016,1Q,62.039806
강동구,2016,2Q,62.315446
강동구,2016,3Q,63.134758999999995
강동구,2016,4Q,64.135606
강동구,2017,1Q,64.17216566666667
강동구,2017,2Q,64.657312
강동구,2017,3Q,66.67881766666666
강동구,2017,4Q,67.96398566666666
강동구,2018,1Q,70.765801
강동구,2018,2Q,72.94528766666667
강동구,2018,3Q,74.90315633333334
강동구,2018,4Q,78.29604066666667
강동구,2019,1Q,78.16504533333334
강동구,2019,2Q,77.474742
강동구,2019,3Q,77.720638
강동구,2019,4Q,79.25697933333333
강동구,2020,1Q,80.23125233333333
강동구,2020,2Q,80.617439
강동구,2020,3Q,82.42783100000001
강동구,2020,4Q,85.14612133333334
강동구,2021,1Q,89.05056
강동구,2021,2Q,92.51575600000001
강동구,2021,3Q,95.710029
강동구,2021,4Q,98.70915533333334
강동구,2022,1Q,100.07834119333332
강동구,2022,2Q,100.27636240286667
강동구,2022,3Q,100.0730926602
강동구,2022,4Q,97.3897518523
강동구,2023,1Q,90.5332783055
강동구,2023,2Q,89.1449777738
강동구,2023,3Q,89.67034982
강동구,2023,4Q,90.5414784
강동구,2024,1Q,90.33357875333333
강동구,2024,2Q,90.16209038
강동구,2024,3Q,92.70919824500001
강북구,2014,3Q,58.277246000000005
강북구,2014,4Q,58.388827666666664
강북구,2015,1Q,58.52507966666667
강북구,2015,2Q,59.08475366666667
강북구,2015,3Q,59.904475999999995
강북구,2015,4Q,61.02150700000001
강북구,2016,1Q,61.40448033333333
강북구,2016,2Q,61.67254966666667
강북구,2016,3Q,62.203733666666665
강북구,2016,4Q,63.007706000000006
강북구,2017,1Q,63.32660633333333
강북구,2017,2Q,63.51824633333333
강북구,2017,3Q,64.325061
강북구,2017,4Q,65.06361433333333
강북구,2018,1Q,65.63230133333333
강북구,2018,2Q,66.414168
강북구,2018,3Q,68.24995
강북구,2018,4Q,72.53167633333334
강북구,2019,1Q,72.688164
강북구,2019,2Q,72.630922
강북구,2019,3Q,72.85645433333333
강북구,2019,4Q,73.21351299999999
