,거래년도,시,구,동,평균공시지가,공시지가분산
0,2014,서울,강남구,개포동,3167943.0,2270440.0
1,2014,서울,강남구,논현동,6146773.0,3696188.0
2,2014,서울,강남구,대치동,7181762.0,5966103.0
3,2014,서울,강남구,도곡동,5738476.0,4364105.0
4,2014,서울,강남구,삼성동,7098888.0,5553857.0
5,2014,서울,강남구,세곡동,1134992.0,1155308.0
6,2014,서울,강남구,수서동,1414259.0,1875464.0
7,2014,서울,강남구,신사동,8604242.0,5196078.0
8,2014,서울,강남구,압구정동,8948475.0,6258749.0
9,2014,서울,강남구,역삼동,7874860.0,6886045.0
10,2014,서울,강남구,율현동,1133748.0,1029011.0
11,2014,서울,강남구,일원동,3068078.0,2058587.0
12,2014,서울,강남구,자곡동,1113171.0,1207571.0
13,2014,서울,강남구,청담동,7755201.0,4784265.0
14,2014,서울,강동구,강일동,555883.0,820544.0
15,2014,서울,강동구,고덕동,1848898.0,1743770.0
16,2014,서울,강동구,길동,3153730.0,1835911.0
17,2014,서울,강동구,둔촌동,1946017.0,1492038.0
18,2014,서울,강동구,명일동,3473937.0,1893483.0
19,2014,서울,강동구,상일동,2038360.0,1810688.0
20,2014,서울,강동구,성내동,3182080.0,1763574.0
21,2014,서울,강동구,암사동,2123545.0,1524386.0
22,2014,서울,강동구,천호동,3361794.0,2634998.0
23,2014,서울,강북구,미아동,1898681.0,1264117.0
24,2014,서울,강북구,번동,1586852.0,1219402.0
25,2014,서울,강북구,수유동,1559832.0,1015772.0
26,2014,서울,강북구,우이동,1048097.0,756552.0
27,2014,서울,강서구,가양동,2445759.0,1571060.0
28,2014,서울,강서구,개화동,321080.0,527120.0
29,2014,서울,강서구,공항동,2014705.0,1024792.0
30,2014,서울,강서구,과해동,179542.0,201538.0
31,2014,서울,강서구,내발산동,2255919.0,1239953.0
32,2014,서울,강서구,등촌동,2619161.0,1412199.0
33,2014,서울,강서구,마곡동,1018821.0,1072528.0
34,2014,서울,강서구,방화동,1838249.0,1267557.0
35,2014,서울,강서구,염창동,2585269.0,1738921.0
36,2014,서울,강서구,오곡동,162137.0,143116.0
37,2014,서울,강서구,오쇠동,208351.0,186708.0
38,2014,서울,강서구,외발산동,920030.0,625350.0
39,2014,서울,강서구,화곡동,2033731.0,1037566.0
40,2014,서울,관악구,남현동,2773170.0,2107590.0
41,2014,서울,관악구,봉천동,2412885.0,1486207.0
42,2014,서울,관악구,신림동,2381400.0,1498136.0
43,2014,서울,광진구,광장동,1993779.0,1603941.0
44,2014,서울,광진구,구의동,2764256.0,1265446.0
45,2014,서울,광진구,군자동,2810676.0,1301387.0
46,2014,서울,광진구,능동,2622064.0,1380581.0
47,2014,서울,광진구,자양동,2963165.0,1335166.0
48,2014,서울,광진구,중곡동,2275907.0,982835.0
49,2014,서울,광진구,화양동,3720868.0,2479934.0
50,2014,서울,구로구,가리봉동,2828239.0,1256712.0
51,2014,서울,구로구,개봉동,2066409.0,922517.0
52,2014,서울,구로구,고척동,1893020.0,894424.0
53,2014,서울,구로구,구로동,2255320.0,1203928.0
54,2014,서울,구로구,궁동,1353721.0,869870.0
55,2014,서울,구로구,신도림동,2102551.0,1235324.0
56,2014,서울,구로구,오류동,1697509.0,1126408.0
57,2014,서울,구로구,온수동,1385241.0,773553.0
58,2014,서울,구로구,천왕동,928616.0,837699.0
59,2014,서울,구로구,항동,609950.0,679097.0
60,2014,서울,금천구,가산동,1862008.0,964277.0
61,2014,서울,금천구,독산동,1950000.0,945516.0
62,2014,서울,금천구,시흥동,1888112.0,1090517.0
63,2014,서울,노원구,공릉동,1528276.0,960494.0
64,2014,서울,노원구,상계동,1962813.0,1512686.0
65,2014,서울,노원구,월계동,1317721.0,834021.0
66,2014,서울,노원구,중계동,1519384.0,917367.0
67,2014,서울,노원구,하계동,1279437.0,816863.0
68,2014,서울,도봉구,도봉동,1319402.0,947530.0
69,2014,서울,도봉구,방학동,1571726.0,858373.0
70,2014,서울,도봉구,쌍문동,1439898.0,766014.0
71,2014,서울,도봉구,창동,1714968.0,1042017.0
72,2014,서울,동대문구,답십리동,2591808.0,956720.0
73,2014,서울,동대문구,신설동,3219405.0,1925908.0
74,2014,서울,동대문구,용두동,2879634.0,1536475.0
75,2014,서울,동대문구,이문동,2260888.0,1011243.0
76,2014,서울,동대문구,장안동,2507441.0,1153873.0
77,2014,서울,동대문구,전농동,2642224.0,1400501.0
78,2014,서울,동대문구,제기동,2565189.0,1502731.0
79,2014,서울,동대문구,청량리동,2598242.0,1968950.0
80,2014,서울,동대문구,회기동,2628745.0,1821106.0
81,2014,서울,동대문구,휘경동,2023796.0,986069.0
82,2014,서울,동작구,노량진동,3423577.0,2291471.0
83,2014,서울,동작구,대방동,2403379.0,1230699.0
84,2014,서울,동작구,동작동,998119.0,958990.0
85,2014,서울,동작구,본동,1941318.0,1207011.0
86,2014,서울,동작구,사당동,2471688.0,1649471.0
87,2014,서울,동작구,상도1동,2689168.0,1234699.0
88,2014,서울,동작구,상도동,2128303.0,1192806.0
89,2014,서울,동작구,신대방동,2196404.0,1193793.0
90,2014,서울,동작구,흑석동,2982912.0,1838159.0
91,2014,서울,마포구,공덕동,3191924.0,2174518.0
92,2014,서울,마포구,구수동,2558574.0,1473341.0
93,2014,서울,마포구,노고산동,4544324.0,3380602.0
94,2014,서울,마포구,당인동,2265469.0,1191525.0
95,2014,서울,마포구,대흥동,3530597.0,2371492.0
96,2014,서울,마포구,도화동,3756335.0,2902656.0
97,2014,서울,마포구,동교동,4218551.0,2683834.0
98,2014,서울,마포구,마포동,2624623.0,1988895.0
99,2014,서울,마포구,망원동,2530328.0,1144186.0
100,2014,서울,마포구,상수동,3234453.0,1469155.0
101,2014,서울,마포구,상암동,1693339.0,1761213.0
102,2014,서울,마포구,서교동,4368744.0,2182246.0
103,2014,서울,마포구,성산동,2223433.0,1190135.0
104,2014,서울,마포구,신공덕동,2663742.0,1532822.0
105,2014,서울,마포구,신수동,2542060.0,1228524.0
106,2014,서울,마포구,신정동,1959846.0,1366293.0
107,2014,서울,마포구,아현동,3571323.0,1431717.0
108,2014,서울,마포구,연남동,2319303.0,830506.0
109,2014,서울,마포구,염리동,3291335.0,1579431.0
110,2014,서울,마포구,용강동,3774301.0,1528519.0
111,2014,서울,마포구,중동,1814153.0,927235.0
112,2014,서울,마포구,창전동,2644875.0,1608007.0
113,2014,서울,마포구,토정동,1997016.0,1178442.0
114,2014,서울,마포구,하중동,2557095.0,1780301.0
115,2014,서울,마포구,합정동,3169603.0,2204243.0
116,2014,서울,마포구,현석동,2689628.0,1234544.0
117,2014,서울,서대문구,남가좌동,2545478.0,922589.0
118,2014,서울,서대문구,냉천동,3994889.0,3057571.0
119,2014,서울,서대문구,대신동,2694353.0,806305.0
120,2014,서울,서대문구,대현동,9190651.0,6105748.0
121,2014,서울,서대문구,미근동,3845609.0,3074308.0
122,2014,서울,서대문구,봉원동,1385259.0,775459.0
123,2014,서울,서대문구,북가좌동,2637980.0,839746.0
