거래년도,거래분기,동,총직장인구수
2019,1Q,가락동,10417
2019,1Q,가락동,9001
2019,1Q,가락동,1516
2019,1Q,가락동,10121
2019,1Q,가락동,567
2019,1Q,가락동,4420
2019,1Q,가락동,224
2019,1Q,가락동,172
2019,1Q,가락동,1422
2019,1Q,가락동,527
2019,1Q,가락동,179
2019,1Q,가리봉동,701
2019,1Q,가리봉동,19
2019,1Q,가리봉동,772
2019,1Q,가리봉동,133
2019,1Q,가산동,133553
2019,1Q,가산동,337
2019,1Q,가산동,435
2019,1Q,가산동,303
2019,1Q,가산동,293
2019,1Q,가양동,5626
2019,1Q,가양동,350
2019,1Q,가양동,8316
2019,1Q,가양동,234
2019,1Q,가양동,1706
2019,1Q,가양동,922
2019,1Q,가양동,763
2019,1Q,가양동,1175
2019,1Q,가회동,403
2019,1Q,가회동,603
2019,1Q,가회동,20984
2019,1Q,갈월동,12138
2019,1Q,갈월동,10512
2019,1Q,갈월동,2104
2019,1Q,갈월동,3688
2019,1Q,갈현동,343
2019,1Q,갈현동,271
2019,1Q,갈현동,306
2019,1Q,갈현동,30
2019,1Q,갈현동,117
2019,1Q,갈현동,1337
2019,1Q,갈현동,1006
2019,1Q,갈현동,233
2019,1Q,갈현동,787
2019,1Q,갈현동,205
2019,1Q,강일동,633
2019,1Q,개봉동,217
2019,1Q,개봉동,183
2019,1Q,개봉동,131
2019,1Q,개봉동,98
2019,1Q,개봉동,169
2019,1Q,개봉동,3521
2019,1Q,개봉동,615
2019,1Q,개봉동,316
2019,1Q,개봉동,927
2019,1Q,개포동,156
2019,1Q,개포동,613
2019,1Q,개포동,1387
2019,1Q,개포동,505
2019,1Q,개포동,754
2019,1Q,개포동,2796
2019,1Q,개포동,76
2019,1Q,개포동,436
2019,1Q,개화동,63
2019,1Q,개화동,1338
2019,1Q,개화동,325
2019,1Q,개화동,82
2019,1Q,개화동,730
2019,1Q,거여동,2498
2019,1Q,거여동,139
2019,1Q,거여동,800
2019,1Q,거여동,51
2019,1Q,견지동,678
2019,1Q,견지동,22547
2019,1Q,견지동,37433
2019,1Q,견지동,15017
2019,1Q,견지동,12814
2019,1Q,견지동,4284
2019,1Q,견지동,4056
2019,1Q,견지동,421
2019,1Q,견지동,558
2019,1Q,견지동,37773
2019,1Q,견지동,1106
2019,1Q,경운동,678
2019,1Q,경운동,22547
2019,1Q,경운동,37433
2019,1Q,경운동,15017
2019,1Q,경운동,12814
2019,1Q,경운동,4284
2019,1Q,경운동,4056
2019,1Q,경운동,421
2019,1Q,경운동,558
2019,1Q,경운동,37773
2019,1Q,경운동,1106
2019,1Q,계동,403
2019,1Q,계동,603
2019,1Q,계동,20984
2019,1Q,고덕동,276
2019,1Q,고덕동,392
2019,1Q,고덕동,153
2019,1Q,고덕동,128
2019,1Q,고척동,294
2019,1Q,고척동,394
2019,1Q,고척동,169
2019,1Q,고척동,692
2019,1Q,고척동,393
2019,1Q,고척동,157
2019,1Q,고척동,114
2019,1Q,고척동,495
2019,1Q,고척동,197
2019,1Q,고척동,33
2019,1Q,고척동,49
2019,1Q,고척동,199
2019,1Q,공덕동,4277
2019,1Q,공덕동,1829
2019,1Q,공덕동,81
2019,1Q,공덕동,171
2019,1Q,공덕동,62
2019,1Q,공덕동,133
2019,1Q,공덕동,986
2019,1Q,공덕동,3558
2019,1Q,공덕동,478
2019,1Q,공덕동,700
2019,1Q,공덕동,68
2019,1Q,공덕동,96
2019,1Q,공덕동,228
2019,1Q,공릉동,334
2019,1Q,공릉동,144
2019,1Q,공릉동,71
2019,1Q,공릉동,450
2019,1Q,공릉동,154
2019,1Q,공릉동,454
2019,1Q,공릉동,1923
2019,1Q,공릉동,1352
2019,1Q,공릉동,3311
2019,1Q,공평동,678
2019,1Q,공평동,22547
2019,1Q,공평동,37433
2019,1Q,공평동,15017
2019,1Q,공평동,12814
2019,1Q,공평동,4284
2019,1Q,공평동,4056
2019,1Q,공평동,421
2019,1Q,공평동,558
2019,1Q,공평동,37773
2019,1Q,공평동,1106
2019,1Q,공항동,285
2019,1Q,공항동,467
2019,1Q,공항동,683
2019,1Q,공항동,921
2019,1Q,공항동,358
2019,1Q,공항동,386
2019,1Q,공항동,563
2019,1Q,공항동,1062
2019,1Q,공항동,298
2019,1Q,공항동,469
2019,1Q,공항동,788
2019,1Q,공항동,373
2019,1Q,과해동,285
2019,1Q,과해동,921
2019,1Q,과해동,358
2019,1Q,과해동,563
2019,1Q,과해동,788
2019,1Q,과해동,373
2019,1Q,관수동,678
2019,1Q,관수동,22547
2019,1Q,관수동,37433
2019,1Q,관수동,15017
2019,1Q,관수동,12814
2019,1Q,관수동,4284
2019,1Q,관수동,4056
2019,1Q,관수동,421
2019,1Q,관수동,558
2019,1Q,관수동,37773
2019,1Q,관수동,1106
2019,1Q,관철동,678
2019,1Q,관철동,22547
2019,1Q,관철동,37433
2019,1Q,관철동,15017
2019,1Q,관철동,12814
2019,1Q,관철동,4284
2019,1Q,관철동,4056
2019,1Q,관철동,421
2019,1Q,관철동,558
2019,1Q,관철동,37773
2019,1Q,관철동,1106
2019,1Q,관훈동,678
2019,1Q,관훈동,22547
2019,1Q,관훈동,37433
2019,1Q,관훈동,15017
2019,1Q,관훈동,12814
2019,1Q,관훈동,4284
2019,1Q,관훈동,4056
2019,1Q,관훈동,421
2019,1Q,관훈동,558
2019,1Q,관훈동,37773
2019,1Q,관훈동,1106
2019,1Q,광장동,67
2019,1Q,광장동,434
2019,1Q,광장동,2198
2019,1Q,광희동1가,4501
2019,1Q,광희동1가,2130
2019,1Q,광희동1가,24669
2019,1Q,광희동1가,556
2019,1Q,광희동1가,1779
2019,1Q,광희동1가,20370
2019,1Q,광희동1가,4230
2019,1Q,광희동2가,4501
2019,1Q,광희동2가,2130
2019,1Q,광희동2가,24669
2019,1Q,광희동2가,556
2019,1Q,광희동2가,1779
2019,1Q,광희동2가,20370
2019,1Q,광희동2가,4230
2019,1Q,교남동,24072
2019,1Q,교남동,45
2019,1Q,교북동,24072
2019,1Q,교북동,45
2019,1Q,구기동,592
2019,1Q,구기동,159
2019,1Q,구기동,376
2019,1Q,구로동,7558
2019,1Q,구로동,77683
2019,1Q,구로동,2272
2019,1Q,구로동,166
2019,1Q,구로동,232
2019,1Q,구로동,458
2019,1Q,구로동,590
2019,1Q,구로동,300
2019,1Q,구로동,3050
2019,1Q,구로동,399
2019,1Q,구로동,136
2019,1Q,구로동,362
2019,1Q,구로동,1989
2019,1Q,구로동,55
2019,1Q,구로동,331
2019,1Q,구로동,245
2019,1Q,구로동,16
2019,1Q,구로동,443
2019,1Q,구로동,21296
2019,1Q,구로동,8854
2019,1Q,구산동,416
2019,1Q,구산동,361
2019,1Q,구산동,468
2019,1Q,구산동,28
2019,1Q,구수동,40
2019,1Q,구수동,376
2019,1Q,구수동,844
2019,1Q,구수동,991
2019,1Q,구의동,755
2019,1Q,구의동,18
2019,1Q,구의동,4726
2019,1Q,구의동,665
2019,1Q,구의동,1108
2019,1Q,구의동,528
2019,1Q,구의동,3480
2019,1Q,구의동,311
2019,1Q,구의동,2517
2019,1Q,구의동,354
2019,1Q,구의동,324
2019,1Q,구의동,302
2019,1Q,군자동,28
2019,1Q,군자동,753
2019,1Q,군자동,315
2019,1Q,군자동,1094
2019,1Q,군자동,5139
2019,1Q,궁동,952
2019,1Q,궁동,214
2019,1Q,궁동,15
2019,1Q,궁동,127
2019,1Q,궁동,178
2019,1Q,궁동,402
2019,1Q,궁정동,282
2019,1Q,궁정동,815
2019,1Q,궁정동,69
2019,1Q,궁정동,184
2019,1Q,궁정동,129
2019,1Q,권농동,678
2019,1Q,권농동,22547
2019,1Q,권농동,37433
2019,1Q,권농동,15017
2019,1Q,권농동,12814
2019,1Q,권농동,4284
2019,1Q,권농동,4056
2019,1Q,권농동,421
2019,1Q,권농동,558
2019,1Q,권농동,37773
2019,1Q,권농동,1106
2019,1Q,금호동1가,23
2019,1Q,금호동1가,36
2019,1Q,금호동1가,334
2019,1Q,금호동2가,299
2019,1Q,금호동2가,74
2019,1Q,금호동2가,111
2019,1Q,금호동2가,105
2019,1Q,금호동3가,299
2019,1Q,금호동3가,74
2019,1Q,금호동3가,111
2019,1Q,금호동3가,105
2019,1Q,금호동4가,348
2019,1Q,금호동4가,120
2019,1Q,금호동4가,49
2019,1Q,길동,1828
2019,1Q,길동,1065
2019,1Q,길동,393
2019,1Q,길동,55
2019,1Q,길동,167
2019,1Q,길동,5284
2019,1Q,길동,1208
2019,1Q,길동,54
2019,1Q,길음동,116
2019,1Q,길음동,532
2019,1Q,길음동,328
2019,1Q,길음동,381
2019,1Q,길음동,974
2019,1Q,길음동,39
2019,1Q,길음동,103
2019,1Q,길음동,518
2019,1Q,낙원동,678
2019,1Q,낙원동,22547
2019,1Q,낙원동,37433
2019,1Q,낙원동,15017
2019,1Q,낙원동,12814
2019,1Q,낙원동,4284
2019,1Q,낙원동,4056
2019,1Q,낙원동,421
2019,1Q,낙원동,558
2019,1Q,낙원동,37773
2019,1Q,낙원동,1106
2019,1Q,남가좌동,609
2019,1Q,남가좌동,55
2019,1Q,남가좌동,394
2019,1Q,남가좌동,539
2019,1Q,남가좌동,88
2019,1Q,남가좌동,8
2019,1Q,남대문로1가,19483
2019,1Q,남대문로1가,1211
2019,1Q,남대문로1가,57558
2019,1Q,남대문로1가,26581
2019,1Q,남대문로1가,24193
2019,1Q,남대문로1가,16089
2019,1Q,남대문로1가,20441
2019,1Q,남대문로2가,19483
2019,1Q,남대문로2가,9258
2019,1Q,남대문로2가,6341
2019,1Q,남대문로2가,48308
2019,1Q,남대문로2가,6281
2019,1Q,남대문로2가,8144
2019,1Q,남대문로2가,174313
2019,1Q,남대문로2가,1211
2019,1Q,남대문로2가,28044
2019,1Q,남대문로2가,26581
2019,1Q,남대문로2가,24193
2019,1Q,남대문로2가,16089
2019,1Q,남대문로2가,20441
2019,1Q,남대문로2가,57558
2019,1Q,남대문로3가,3583
2019,1Q,남대문로3가,3018
2019,1Q,남대문로3가,28044
2019,1Q,남대문로3가,1107
2019,1Q,남대문로3가,31101
2019,1Q,남대문로3가,9258
2019,1Q,남대문로3가,6341
2019,1Q,남대문로3가,48308
2019,1Q,남대문로3가,6281
2019,1Q,남대문로3가,109
2019,1Q,남대문로3가,288
2019,1Q,남대문로3가,8144
2019,1Q,남대문로3가,1673
2019,1Q,남대문로3가,174313
2019,1Q,남대문로4가,3583
2019,1Q,남대문로4가,3018
2019,1Q,남대문로4가,28044
2019,1Q,남대문로4가,1107
2019,1Q,남대문로4가,31101
2019,1Q,남대문로4가,9258
2019,1Q,남대문로4가,6341
2019,1Q,남대문로4가,48308
2019,1Q,남대문로4가,6281
2019,1Q,남대문로4가,109
2019,1Q,남대문로4가,288
2019,1Q,남대문로4가,8144
2019,1Q,남대문로4가,1673
2019,1Q,남대문로4가,174313
2019,1Q,남대문로5가,3583
2019,1Q,남대문로5가,3018
2019,1Q,남대문로5가,1107
2019,1Q,남대문로5가,31101
2019,1Q,남대문로5가,1673
2019,1Q,남대문로5가,109
2019,1Q,남대문로5가,288
